Apple,Fruit,52
Banana,Fruit,96
Broccoli,Vegetable,34
Chicken Breast,Meat,165
Salmon,Fish,206
White Rice,Grain,130
Whole Wheat Bread,Bread,247
Almonds,Nuts,579
Skim Milk,Dairy,35
Carrot,Vegetable,41
Spinach,Vegetable,23
Beef Steak,Meat,271
Trout,Fish,141
Brown Rice,Grain,112
Rye Bread,Bread,259
Cashews,Nuts,553
Whole Milk,Dairy,61
Pineapple,Fruit,50
Blueberries,Fruit,57
Cucumber,Vegetable,15
Turkey Breast,Meat,135
Tuna,Fish,232
Oats,Grain,389
Multigrain Bread,Bread,277
Walnuts,Nuts,654
Butter,Dairy,717
Strawberries,Fruit,33
Lettuce,Vegetable,5
Pork Loin,Meat,242
Catfish,Fish,95
Quinoa,Grain,368
Sourdough Bread,Bread,270
Pecans,Nuts,691
Cheese,Dairy,402
Orange,Fruit,43
Peas,Vegetable,81
Lamb,Meat,294
Mackerel,Fish,305
Barley,Grain,354
Bagel,Bread,250
Pistachios,Nuts,562
Yogurt,Dairy,59
Grapes,Fruit,69
Green Beans,Vegetable,31
Venison,Meat,158
Shrimp,Seafood,85
Corn,Grain,365
Toast,Bread,312
Macadamia,Nuts,718
Ice Cream,Dairy,207
Pear,Fruit,57
Brussels Sprouts,Vegetable,43
Duck,Meat,337
Clams,Seafood,148
Millet,Grain,378
Croissant,Bread,406
Chia Seeds,Nuts,486
Cottage Cheese,Dairy,98
